Zone in matrix;Zone in model;Connected zone;Dummy;Dummy;Country/county;Type;Name
993;8149;1401;7;0;14;L;Flora
994;8150;1411;7;0;14;L;Gulen
995;8151;1417;7;0;14;L;Vik
996;8152;1419;7;0;14;L;Leikanger
997;8153;1420;7;0;14;L;Sogndal
998;8154;1426;7;0;14;L;Luster
999;8155;1428;7;0;14;L;Askvoll
1000;8156;1430;7;0;14;L;Gaular
1001;8157;1432;7;0;14;L;Førde
1002;8158;1439;7;0;14;L;Vågsøy
1003;8159;1443;7;0;14;L;Eid
1004;8160;1445;7;0;14;L;Gloppen
1005;8161;1449;7;0;14;L;Stryn
1006;8162;1502;7;0;15;L;Molde
1007;8163;1503;7;0;15;L;Kristiansund
1008;8164;1504;7;0;15;L;Ålesund
1009;8165;1514;7;0;15;L;Sande
1010;8166;1515;7;0;15;L;Herøy
1011;8167;1519;7;0;15;L;Volda
1012;8168;1520;7;0;15;L;Ørsta
1013;8169;1531;7;0;15;L;Sula
1014;8170;1534;7;0;15;L;Haram
1015;8171;1535;7;0;15;L;Vestnes
1016;8172;1539;7;0;15;L;Rauma
1017;8173;1543;7;0;15;L;Nesset
1018;8174;1546;7;0;15;L;Sandøy
1019;8175;1551;7;0;15;L;Eide
1020;8176;1557;7;0;15;L;Gjemnes
1021;8177;1566;7;0;15;L;Surnadal
1022;8178;1569;7;0;15;L;Aure
1023;8179;1620;8;0;16;L;Frøya
1024;8180;1622;8;0;16;L;Agdenes
1025;8181;1624;8;0;16;L;Rissa
1026;8182;1630;8;0;16;L;Åfjord
1027;8183;1634;8;0;16;L;Oppdal
1028;8184;1635;8;0;16;L;Rennebu
1029;8185;1640;8;0;16;L;Røros
1030;8186;1648;8;0;16;L;Midtre_Gauldal
1031;8187;1653;8;0;16;L;Melhus
1032;8188;1663;8;0;16;L;Malvik
1033;8189;1664;8;0;16;L;Selbu
1034;8190;1671;8;0;16;L;Trondheim1
1035;8191;1673;8;0;16;L;Trondheim3
1036;8192;1675;8;0;16;L;Trondheim5
1037;8193;1676;8;0;16;L;Trondheim6
1038;8194;1677;8;0;16;L;Trondheim7
1039;8195;1702;8;0;17;L;Steinkjer
1040;8196;1703;8;0;17;L;Namsos
1041;8197;1714;8;0;17;L;Stjørdal
1042;8198;1719;8;0;17;L;Levanger
1043;8199;1721;8;0;17;L;Verdal
1044;8200;1723;8;0;17;L;Mosvik
1045;8201;1729;8;0;17;L;Inderøy
1046;8202;1744;8;0;17;L;Overhalla
1047;8203;1750;8;0;17;L;Vikna
1048;8204;1751;8;0;17;L;Nærøy
1049;8205;1755;8;0;17;L;Leka
1050;8206;1804;9;0;18;L;Bodø
1051;8207;1805;9;0;18;L;Narvik
1052;8208;1812;9;0;18;L;Sømna
1053;8209;1813;9;0;18;L;Brønnøy
1054;8210;1815;9;0;18;L;Vega
1055;8211;1818;9;0;18;L;Herøy
1056;8212;1820;9;0;18;L;Alstahaug
1057;8213;1824;9;0;18;L;Vefsn
1058;8214;1827;9;0;18;L;Dønna
1059;8215;1828;9;0;18;L;Nesna
1060;8216;1832;9;0;18;L;Hemnes
1061;8217;1833;9;0;18;L;Rana
1062;8218;1834;9;0;18;L;Lurøy
1063;8219;1836;9;0;18;L;Rødøy
1064;8220;1837;9;0;18;L;Meløy
1065;8221;1841;9;0;18;L;Fauske
1066;8222;1845;9;0;18;L;Sørfold
1067;8223;1850;9;0;18;L;Tysfjord
1068;8224;1851;9;0;18;L;Lødingen
1069;8225;1857;9;0;18;L;Værøy
1070;8226;1860;9;0;18;L;Vestvågøy
1071;8227;1865;9;0;18;L;Vågan
1072;8228;1866;9;0;18;L;Hadsel
1073;8229;1867;9;0;18;L;Bø
1074;8230;1868;9;0;18;L;Øksnes
1075;8231;1870;9;0;18;L;Sortland
1076;8232;1871;9;0;18;L;Andøy
1077;8233;1874;9;0;18;L;Moskenes
1078;8234;1901;10;0;19;L;Harstad
1079;8235;1913;10;0;19;L;Skånland
1080;8236;1923;10;0;19;L;Salangen
1081;8237;1924;10;0;19;L;Målselv
1082;8238;1928;10;0;19;L;Torsken
1083;8239;1929;10;0;19;L;Berg
1084;8240;1931;10;0;19;L;Lenvik
1085;8241;1933;10;0;19;L;Balsfjord
1086;8242;1936;10;0;19;L;Karlsøy
1087;8243;1941;10;0;19;L;Skjervøy
1088;8244;1971;10;0;19;L;Tromsø1
1089;8245;1972;10;0;19;L;Tromsø2
1090;8246;2002;10;0;20;L;Vardø
1091;8247;2003;10;0;20;L;Vadsø
1092;8248;2004;10;0;20;L;Hammerfest
1093;8249;2012;10;0;20;L;Alta
1094;8250;2014;10;0;20;L;Loppa
1095;8251;2018;10;0;20;L;Måsøy
1096;8252;2019;10;0;20;L;Nordkapp
1097;8253;2020;10;0;20;L;Porsanger
1098;8254;2021;10;0;20;L;Kautokeino
1099;8255;2022;10;0;20;L;Lebesby
1100;8256;2023;10;0;20;L;Gamvik
1101;8257;2024;10;0;20;L;Berlevåg
1102;8258;2025;10;0;20;L;Tana
1103;8259;2028;10;0;20;L;Båtsfjord
1104;8260;2030;10;0;20;L;Sør-Varanger
