,from_aggr_zone,to_aggr_zone,product_group,year,amount_tons
110,(L)Ofoten og Vesterålen,Europe,Liquid bulk,2025,288.08842733899627
111,(L)Ofoten og Vesterålen,Europe,Liquid bulk,2030,335.05686024091483
112,(L)Ofoten og Vesterålen,Europe,Liquid bulk,2040,398.8280929432377
113,(L)Ofoten og Vesterålen,Europe,Liquid bulk,2050,489.8499092656576
114,(L)Ofoten og Vesterålen,Europe,Neo bulk,2018,1084.5079492234638
115,(L)Ofoten og Vesterålen,Europe,Neo bulk,2020,988.5603300129965
116,(L)Ofoten og Vesterålen,Europe,Neo bulk,2025,1143.1064595764772
117,(L)Ofoten og Vesterålen,Europe,Neo bulk,2030,1322.7295721942987
118,(L)Ofoten og Vesterålen,Europe,Neo bulk,2040,1556.5602754509987
119,(L)Ofoten og Vesterålen,Europe,Neo bulk,2050,1894.4348262253427
120,(L)Ofoten og Vesterålen,Finnmark,Break bulk (fast),2018,29103.822345138775
121,(L)Ofoten og Vesterålen,Finnmark,Break bulk (fast),2020,26781.620483400617
122,(L)Ofoten og Vesterålen,Finnmark,Break bulk (fast),2025,29747.561121185732
123,(L)Ofoten og Vesterålen,Finnmark,Break bulk (fast),2030,33078.74585972016
124,(L)Ofoten og Vesterålen,Finnmark,Break bulk (fast),2040,38693.848571405935
125,(L)Ofoten og Vesterålen,Finnmark,Break bulk (fast),2050,43726.295359082374
126,(L)Ofoten og Vesterålen,Finnmark,Break bulk (slow),2018,34793.387416086356
127,(L)Ofoten og Vesterålen,Finnmark,Break bulk (slow),2020,32787.75214052983
128,(L)Ofoten og Vesterålen,Finnmark,Break bulk (slow),2025,38985.83326034915
129,(L)Ofoten og Vesterålen,Finnmark,Break bulk (slow),2030,46433.73147380726
130,(L)Ofoten og Vesterålen,Finnmark,Break bulk (slow),2040,46417.63643220423
131,(L)Ofoten og Vesterålen,Finnmark,Break bulk (slow),2050,48209.66075715566
132,(L)Ofoten og Vesterålen,Finnmark,Container (fast),2018,406.3776460736345
133,(L)Ofoten og Vesterålen,Finnmark,Container (fast),2020,376.70663054753777
134,(L)Ofoten og Vesterålen,Finnmark,Container (fast),2025,455.9634396925224
135,(L)Ofoten og Vesterålen,Finnmark,Container (fast),2030,555.4829609940705
136,(L)Ofoten og Vesterålen,Finnmark,Container (fast),2040,870.8157922577152
137,(L)Ofoten og Vesterålen,Finnmark,Container (fast),2050,1018.7236200898413
138,(L)Ofoten og Vesterålen,Finnmark,Container (slow),2018,1783.0289725606322
139,(L)Ofoten og Vesterålen,Finnmark,Container (slow),2020,1664.8526077698232
140,(L)Ofoten og Vesterålen,Finnmark,Container (slow),2025,1945.8390528713085
141,(L)Ofoten og Vesterålen,Finnmark,Container (slow),2030,2286.2873117192103
142,(L)Ofoten og Vesterålen,Finnmark,Container (slow),2040,3118.359715689471
143,(L)Ofoten og Vesterålen,Finnmark,Container (slow),2050,3543.2900909558944
144,(L)Ofoten og Vesterålen,Finnmark,Dry bulk,2018,59795.000129372
145,(L)Ofoten og Vesterålen,Finnmark,Dry bulk,2020,59034.67791295002
146,(L)Ofoten og Vesterålen,Finnmark,Dry bulk,2025,70191.50974916379
147,(L)Ofoten og Vesterålen,Finnmark,Dry bulk,2030,83907.1850362282
148,(L)Ofoten og Vesterålen,Finnmark,Dry bulk,2040,109735.8783113663
149,(L)Ofoten og Vesterålen,Finnmark,Dry bulk,2050,122433.03536181399
150,(L)Ofoten og Vesterålen,Finnmark,Liquid bulk,2018,3.240532312661667
151,(L)Ofoten og Vesterålen,Finnmark,Liquid bulk,2020,3.349319845773893
152,(L)Ofoten og Vesterålen,Finnmark,Liquid bulk,2025,3.266694405262326
153,(L)Ofoten og Vesterålen,Finnmark,Liquid bulk,2030,3.20709542051898
154,(L)Ofoten og Vesterålen,Finnmark,Liquid bulk,2040,3.330796624517683
155,(L)Ofoten og Vesterålen,Finnmark,Liquid bulk,2050,2.601175850169771
156,(L)Ofoten og Vesterålen,Finnmark,Neo bulk,2018,703.5779658449014
157,(L)Ofoten og Vesterålen,Finnmark,Neo bulk,2020,698.3480040140357
158,(L)Ofoten og Vesterålen,Finnmark,Neo bulk,2025,819.4189771641984
159,(L)Ofoten og Vesterålen,Finnmark,Neo bulk,2030,964.045938894337
160,(L)Ofoten og Vesterålen,Finnmark,Neo bulk,2040,1199.8272310100522
161,(L)Ofoten og Vesterålen,Finnmark,Neo bulk,2050,1346.4434366499568
162,(L)Ofoten og Vesterålen,Hordaland,Break bulk (fast),2018,612.2159653532445
163,(L)Ofoten og Vesterålen,Hordaland,Break bulk (fast),2020,582.0668472319023
164,(L)Ofoten og Vesterålen,Hordaland,Break bulk (fast),2025,680.9092291118689
165,(L)Ofoten og Vesterålen,Hordaland,Break bulk (fast),2030,796.9625106251846
166,(L)Ofoten og Vesterålen,Hordaland,Break bulk (fast),2040,984.1421197613857
167,(L)Ofoten og Vesterålen,Hordaland,Break bulk (fast),2050,1181.8065331551334
168,(L)Ofoten og Vesterålen,Hordaland,Break bulk (slow),2018,1487.7085275660822
169,(L)Ofoten og Vesterålen,Hordaland,Break bulk (slow),2020,1486.4017308285045
170,(L)Ofoten og Vesterålen,Hordaland,Break bulk (slow),2025,1706.2642033883058
171,(L)Ofoten og Vesterålen,Hordaland,Break bulk (slow),2030,1958.8850746987848
172,(L)Ofoten og Vesterålen,Hordaland,Break bulk (slow),2040,2106.1659050351464
173,(L)Ofoten og Vesterålen,Hordaland,Break bulk (slow),2050,2394.49546948315
174,(L)Ofoten og Vesterålen,Hordaland,Container (fast),2018,561.6363042166806
175,(L)Ofoten og Vesterålen,Hordaland,Container (fast),2020,524.1086800065943
176,(L)Ofoten og Vesterålen,Hordaland,Container (fast),2025,587.5869783272203
177,(L)Ofoten og Vesterålen,Hordaland,Container (fast),2030,660.0567563144764
178,(L)Ofoten og Vesterålen,Hordaland,Container (fast),2040,755.4134719230165
179,(L)Ofoten og Vesterålen,Hordaland,Container (fast),2050,894.9651164458459
180,(L)Ofoten og Vesterålen,Hordaland,Container (slow),2018,1734.5441003115127
181,(L)Ofoten og Vesterålen,Hordaland,Container (slow),2020,1619.711880539296
182,(L)Ofoten og Vesterålen,Hordaland,Container (slow),2025,1818.229164131258
183,(L)Ofoten og Vesterålen,Hordaland,Container (slow),2030,2042.73732107144
184,(L)Ofoten og Vesterålen,Hordaland,Container (slow),2040,2330.0142393807055
185,(L)Ofoten og Vesterålen,Hordaland,Container (slow),2050,2678.9211836109803
186,(L)Ofoten og Vesterålen,Hordaland,Dry bulk,2018,10132.369903552262
187,(L)Ofoten og Vesterålen,Hordaland,Dry bulk,2020,10101.155879491493
188,(L)Ofoten og Vesterålen,Hordaland,Dry bulk,2025,11651.623506832637
189,(L)Ofoten og Vesterålen,Hordaland,Dry bulk,2030,13452.272265996882
190,(L)Ofoten og Vesterålen,Hordaland,Dry bulk,2040,14296.392395869903
191,(L)Ofoten og Vesterålen,Hordaland,Dry bulk,2050,16595.48871661723
